Report Date	Report Range																																
10/8/2015	1/1/2011 - 10/8/2015																																
																																	
																																	
Community Summary																																	
Name	Muni	Launch Date	Property Count	Applications Submitted	Applications Approved	Applications Approved Amount ($)	Approved Projects	Approved Projects Amount ($)	Completed Projects	Completed Projects Amount ($)	Funded Projects	Funded Projects Amount ($)	Annual Energy Savings ($)	Lifetime Energy Savings ($)	Annual Energy Savings (kWh)	Lifetime Energy Savings (kWh)	Annual Water Savings (gal)	Lifetime Water Savings (gal)	Annual Water Bill Savings ($)	Lifetime Water Bill Savings ($)	Annual Emission Reduction (ton)	Lifetime Emission Reduction (ton)	Economic Impact ($)	Renewable Generation (kWh)	Therms Saved (therm)	kWh Saved	Jobs Created	kW Installed	Products Installed	Energy Efficient Products Installed	Solar Products Installed	Water Products Installed	Contractor Count
Albany	Alameda	11/14/2014	"5,240"	6	6	"$714,976"	1	"$9,975"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	0
Alameda County		11/14/2014	"69,610"	43	28	"$3,595,378"	7	"$169,378"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	6
Ventura	Ventura	6/10/2015	"31,078"	92	60	"$4,748,730"	36	"$627,232"	16	"253,135"	16	"$253,135"	"$10,077"	"$325,555"	"118,539"	"1,964,043"	"86,170"	"898,200"	$388	"$5,091"	27	451	"$438,407"	"9,970"	"3,176"	"27,719"	2	7	25	19	4	2	16
Simi Valley	Ventura	3/24/2015	"36,763"	317	235	"$18,607,494"	164	"$3,982,418"	97	"2,381,921"	97	"$2,381,921"	"$71,884"	"$2,569,487"	"647,900"	"11,172,764"	"494,830"	"8,345,250"	"$2,227"	"$56,199"	157	"2,740"	"$4,125,268"	"97,941"	"14,927"	"183,858"	20	65	199	161	22	16	30
Port Hueneme	Ventura	3/24/2015	"6,274"	17	12	"$611,890"	7	"$165,198"	4	"103,741"	4	"$103,741"	"$1,358"	"$56,811"	"7,238"	"144,759"	0	0	$0	$0	2	41	"$179,669"	0	86	"4,705"	1	0	9	9	0	0	2
Oxnard	Ventura	3/24/2015	"38,794"	183	128	"$7,984,079"	80	"$1,511,324"	42	"839,772"	42	"$839,772"	"$23,656"	"$873,019"	"190,522"	"3,325,841"	"115,160"	"2,156,700"	$518	"$15,093"	47	842	"$1,454,409"	"35,923"	"4,025"	"69,710"	7	24	71	57	10	4	7
Santa Paula	Ventura	11/14/2014	"6,250"	31	23	"$1,651,480"	16	"$335,226"	8	"178,319"	8	"$178,319"	"$4,242"	"$136,001"	"49,498"	"833,368"	0	0	$0	$0	11	191	"$308,832"	0	"1,321"	"10,770"	2	0	15	15	0	0	1
Ojai	Ventura	11/14/2014	"2,508"	6	3	"$246,582"	1	"$14,976"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	1
Fillmore	Ventura	11/14/2014	"3,683"	43	24	"$1,365,192"	13	"$290,583"	9	"205,912"	9	"$205,912"	"$7,016"	"$274,983"	"44,345"	"811,551"	0	0	$0	$0	12	221	"$356,620"	"15,348"	718	"26,698"	2	10	17	11	6	0	0
Ventura County		11/14/2014	"125,350"	689	485	"$35,215,447"	317	"$6,926,956"	176	"3,962,800"	176	"$3,962,800"	"$118,233"	"$4,235,857"	"1,058,042"	"18,252,325"	"696,160"	"11,400,150"	"$3,133"	"$76,383"	256	"4,485"	"$6,863,204"	"159,182"	"24,253"	"323,459"	34	106	336	272	42	22	57
Hanford	Kings	9/15/2015	"14,511"	32	27	"$840,355"	6	"$147,754"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	4
Lemoore	Kings	11/14/2014	"6,280"	115	84	"$2,425,329"	68	"$1,204,948"	48	"842,633"	48	"$842,633"	"$66,614"	"$2,223,728"	"591,330"	"10,018,603"	"192,940"	"3,302,200"	$868	"$22,811"	143	"2,438"	"$1,459,362"	"66,248"	"13,656"	"192,897"	7	44	95	79	13	3	1
Kings County		11/14/2014	"20,791"	147	111	"$3,265,684"	74	"$1,352,702"	48	"842,633"	48	"$842,633"	"$66,614"	"$2,223,728"	"591,330"	"10,018,603"	"192,940"	"3,302,200"	$868	"$22,811"	143	"2,438"	"$1,459,362"	"66,248"	"13,656"	"192,897"	7	44	95	79	13	3	5
Porterville	Tulare	9/15/2015	"13,757"	24	21	"$616,554"	11	"$234,146"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	5
Tulare	Tulare	6/10/2015	"16,665"	79	43	"$1,253,994"	26	"$426,393"	19	"317,494"	19	"$317,494"	"$10,592"	"$377,873"	"84,597"	"1,431,506"	0	0	$0	$0	22	385	"$549,871"	"17,884"	"1,475"	"46,844"	3	12	23	19	4	0	9
Visalia	Tulare	11/14/2014	"37,394"	238	167	"$5,279,598"	87	"$1,623,832"	70	"1,263,709"	70	"$1,263,709"	"$59,126"	"$2,157,397"	"516,252"	"9,039,160"	"525,440"	"5,652,325"	"$2,364"	"$32,422"	132	"2,347"	"$2,188,628"	"91,571"	"10,012"	"250,382"	11	63	125	97	20	8	18
Tulare County		11/14/2014	"67,816"	341	231	"$7,150,146"	124	"$2,284,371"	89	"1,581,204"	89	"$1,581,204"	"$69,718"	"$2,535,270"	"600,849"	"10,470,665"	"525,440"	"5,652,325"	"$2,364"	"$32,422"	154	"2,732"	"$2,738,499"	"109,455"	"11,487"	"297,225"	13	75	148	116	24	8	32
Yucca Valley	San Bernardino	10/14/2013	"8,557"	292	215	"$5,535,781"	121	"$2,025,054"	103	"1,691,494"	103	"$1,691,494"	"$139,604"	"$5,528,045"	"853,730"	"15,746,421"	"91,575"	"915,750"	$412	"$5,110"	247	"4,638"	"$2,929,513"	"450,684"	"8,866"	"775,833"	14	266	176	82	93	1	17
Yucaipa	San Bernardino	10/14/2013	"15,281"	861	624	"$28,158,396"	462	"$9,794,946"	407	"8,510,206"	407	"$8,510,206"	"$537,777"	"$20,226,802"	"3,832,634"	"68,004,288"	"764,905"	"9,218,050"	"$3,442"	"$56,298"	"1,048"	"18,940"	"$14,738,894"	"1,309,563"	"56,159"	"2,494,636"	72	774	731	484	235	12	42
Victorville	San Bernardino	10/14/2013	"31,323"	"1,352"	814	"$20,464,945"	544	"$9,395,155"	447	"7,617,586"	446	"$7,602,218"	"$501,192"	"$19,793,394"	"3,104,192"	"57,343,211"	"1,639,145"	"24,487,800"	"$7,376"	"$162,179"	895	"16,783"	"$13,192,958"	"1,386,200"	"33,417"	"3,012,392"	65	819	803	451	326	26	44
Upland	San Bernardino	10/14/2013	"18,864"	825	570	"$36,732,673"	430	"$8,613,000"	344	"6,594,142"	343	"$6,537,069"	"$356,023"	"$12,969,264"	"2,903,125"	"51,009,912"	"307,220"	"3,322,700"	"$1,382"	"$19,303"	758	"13,517"	"$11,420,447"	"495,184"	"51,978"	"1,601,613"	56	293	651	542	103	6	62
Twenty Nine Palms	San Bernardino	10/14/2013	"5,892"	245	169	"$3,996,139"	97	"$1,732,282"	89	"1,538,550"	89	"$1,538,550"	"$140,649"	"$5,781,167"	"737,378"	"14,180,443"	"92,565"	"1,388,475"	$417	"$8,747"	228	"4,418"	"$2,664,626"	"537,903"	"3,967"	"785,793"	13	318	156	50	105	1	7
San Bernardino	San Bernardino	10/14/2013	"53,783"	"3,372"	"2,065"	"$62,881,701"	"1,356"	"$23,766,124"	"1,114"	"18,686,323"	"1,114"	"$18,686,323"	"$924,674"	"$34,911,038"	"6,753,783"	"121,300,652"	"1,248,485"	"18,296,150"	"$5,618"	"$119,093"	"1,831"	"33,386"	"$32,362,992"	"1,419,002"	"103,188"	"4,532,558"	159	838	"1,870"	"1,520"	326	24	63
Rialto	San Bernardino	10/14/2013	"22,811"	"2,396"	"1,376"	"$49,146,369"	"1,000"	"$17,683,789"	849	"14,757,021"	848	"$14,734,771"	"$740,035"	"$27,483,082"	"5,745,449"	"102,120,775"	"1,004,685"	"16,603,175"	"$4,521"	"$112,558"	"1,525"	"27,520"	"$25,557,803"	"884,337"	"96,349"	"3,389,356"	125	522	"1,501"	"1,281"	202	18	23
Redlands	San Bernardino	10/14/2013	"46,124"	"1,288"	965	"$46,899,550"	667	"$12,968,461"	563	"10,581,715"	563	"$10,581,715"	"$585,623"	"$21,878,035"	"4,425,302"	"78,682,047"	"560,320"	"8,518,275"	"$2,521"	"$56,276"	"1,185"	"21,421"	"$18,326,557"	"1,071,628"	"71,337"	"2,680,060"	90	633	996	782	203	11	53
Rancho Cucamonga	San Bernardino	10/14/2013	"44,759"	"2,142"	"1,489"	"$95,586,475"	"1,033"	"$22,036,670"	872	"17,871,255"	872	"$17,871,255"	"$1,001,075"	"$37,545,393"	"7,287,624"	"129,719,794"	"3,202,800"	"39,978,075"	"$14,413"	"$244,448"	"1,978"	"35,797"	"$30,951,370"	"2,110,397"	"110,736"	"4,547,040"	152	"1,247"	"1,558"	"1,137"	373	48	118
Ontario	San Bernardino	10/14/2013	"38,183"	"2,561"	"1,725"	"$77,929,597"	"1,168"	"$21,791,557"	925	"16,714,572"	925	"$16,714,572"	"$732,189"	"$27,115,820"	"5,549,697"	"98,599,887"	"974,290"	"12,686,500"	"$4,384"	"$78,875"	"1,485"	"26,773"	"$28,948,101"	"870,814"	"89,872"	"3,324,794"	142	514	"1,591"	"1,376"	190	25	55
Needles	San Bernardino	10/14/2013	"2,007"	10	7	"$101,078"	1	"$12,751"	0	0	0	$0	$0	$0	0	0	0	0	$0	$0	0	0	$0	0	0	0	0	0	0	0	0	0	4
Montclair	San Bernardino	10/14/2013	"8,499"	509	351	"$15,915,205"	225	"$4,141,291"	165	"2,959,856"	164	"$2,941,322"	"$129,994"	"$4,692,035"	"1,058,196"	"18,524,561"	"137,945"	"1,874,775"	$621	"$11,752"	276	"4,909"	"$5,126,198"	"144,536"	"18,905"	"574,861"	25	85	279	243	33	3	15
Loma Linda	San Bernardino	10/14/2013	"6,764"	187	139	"$9,450,692"	93	"$2,318,050"	79	"1,903,196"	79	"$1,903,196"	"$120,200"	"$4,336,329"	"894,386"	"15,483,441"	"546,575"	"6,724,350"	"$2,460"	"$41,037"	241	"4,241"	"$3,296,160"	"283,365"	"14,079"	"492,564"	16	167	144	99	40	5	3
Highland	San Bernardino	10/14/2013	"13,546"	800	539	"$21,412,976"	359	"$7,011,457"	304	"5,832,440"	304	"$5,832,440"	"$312,494"	"$11,788,709"	"2,215,834"	"39,703,235"	"637,775"	"8,977,600"	"$2,870"	"$58,251"	607	"11,047"	"$10,101,250"	"596,640"	"32,178"	"1,541,411"	50	352	549	416	123	10	16
Hesperia	San Bernardino	10/14/2013	"25,074"	"1,154"	712	"$19,487,303"	467	"$8,109,689"	378	"6,392,473"	378	"$6,392,473"	"$400,372"	"$15,531,582"	"2,597,643"	"47,460,131"	"484,715"	"5,166,150"	"$2,181"	"$29,846"	735	"13,639"	"$11,071,176"	"936,420"	"31,464"	"2,213,559"	54	553	665	445	213	7	39
Grand Terrace	San Bernardino	10/14/2013	"3,429"	275	195	"$8,129,933"	142	"$2,575,398"	119	"2,063,932"	119	"$2,063,932"	"$115,645"	"$4,410,675"	"814,085"	"14,707,370"	"365,750"	"6,957,500"	"$1,646"	"$48,993"	224	"4,102"	"$3,574,540"	"206,735"	"11,668"	"569,179"	18	122	223	176	44	3	11
Fontana	San Bernardino	10/14/2013	"43,469"	"2,965"	"1,820"	"$77,121,830"	"1,297"	"$24,699,011"	"1,083"	"19,863,342"	"1,082"	"$19,821,052"	"$1,106,383"	"$42,527,892"	"7,397,645"	"134,372,744"	"2,186,890"	"27,821,225"	"$9,841"	"$172,415"	"2,070"	"38,184"	"$34,401,480"	"2,252,832"	"95,822"	"5,796,514"	169	"1,331"	"1,984"	"1,441"	501	42	35
San Bernardino County Unincorporated	San Bernardino	10/14/2013	"65,293"	"1,707"	"1,084"	"$36,465,058"	674	"$12,341,605"	533	"9,364,645"	533	"$9,364,645"	"$610,373"	"$24,003,777"	"3,864,206"	"71,295,801"	"414,480"	"5,186,550"	"$1,865"	"$31,634"	"1,104"	"20,678"	"$16,218,703"	"1,604,022"	"44,087"	"3,286,484"	80	948	983	625	341	17	105
Colton	San Bernardino	10/14/2013	"11,216"	758	479	"$15,370,383"	333	"$5,705,286"	275	"4,462,565"	275	"$4,462,565"	"$218,700"	"$8,128,274"	"1,658,809"	"29,590,838"	"275,480"	"4,386,300"	"$1,240"	"$29,649"	444	"8,029"	"$7,728,751"	"236,617"	"26,891"	"1,057,347"	38	140	475	409	61	5	11
Chino Hills	San Bernardino	10/14/2013	"21,647"	670	485	"$39,470,528"	347	"$7,921,868"	282	"6,203,359"	282	"$6,203,359"	"$344,626"	"$12,831,527"	"2,520,929"	"44,593,723"	"877,285"	"11,677,475"	"$3,948"	"$73,978"	683	"12,290"	"$10,743,646"	"739,952"	"38,612"	"1,668,561"	53	437	524	361	150	13	12
Chino	San Bernardino	10/14/2013	"31,426"	"1,214"	794	"$40,863,975"	562	"$11,260,232"	452	"8,647,594"	451	"$8,626,558"	"$498,183"	"$19,132,305"	"3,426,222"	"62,192,480"	"1,328,870"	"17,121,975"	"$5,980"	"$105,924"	949	"17,489"	"$14,976,837"	"1,152,655"	"46,998"	"2,412,255"	73	681	838	582	219	37	22
Big Bear Lake	San Bernardino	10/14/2013	"15,823"	51	35	"$1,581,723"	24	"$557,341"	17	"393,832"	17	"$393,832"	"$23,987"	"$982,320"	"136,972"	"2,649,654"	0	0	$0	$0	41	794	"$682,081"	"62,001"	"1,130"	"159,220"	3	37	44	26	18	0	2
Barstow	San Bernardino	7/3/2014	"8,609"	144	77	"$1,608,464"	50	"$767,503"	35	"488,385"	35	"$488,385"	"$42,087"	"$1,507,042"	"333,287"	"5,754,632"	"183,400"	"3,588,000"	$825	"$25,623"	88	"1,542"	"$845,837"	"89,099"	"5,744"	"209,918"	4	53	67	43	20	4	3
Apple Valley	San Bernardino	10/14/2013	"22,673"	"1,380"	882	"$26,311,594"	601	"$11,084,957"	496	"8,935,406"	496	"$8,935,406"	"$591,619"	"$23,237,297"	"3,854,020"	"71,054,872"	"1,512,240"	"23,515,175"	"$6,805"	"$155,835"	"1,089"	"20,386"	"$15,475,301"	"1,459,521"	"47,123"	"2,915,806"	76	862	897	605	273	19	36
Adelanto	San Bernardino	10/14/2013	"12,426"	423	257	"$6,772,465"	161	"$2,712,433"	124	"2,071,414"	124	"$2,071,414"	"$142,034"	"$5,573,162"	"918,366"	"16,847,125"	"256,245"	"3,199,950"	"$1,153"	"$19,778"	260	"4,855"	"$3,587,499"	"392,638"	"11,034"	"840,460"	18	232	226	125	92	9	7
San Bernardino County		10/14/2013	"577,478"	"27,581"	"17,868"	"$747,394,834"	"12,214"	"$231,025,911"	"10,055"	"184,145,302"	"10,049"	"$183,968,751"	"$10,315,536"	"$391,914,968"	"72,883,514"	"1,310,938,038"	"19,093,640"	"261,611,975"	"$85,921"	"$1,667,603"	"19,990"	"365,379"	"$318,922,721"	"20,692,745"	"1,051,605"	"50,882,214"	"1,564"	"12,223"	"17,931"	"13,301"	"4,284"	346	805
Rancho Mirage	Eastern Riverside	6/10/2015	"12,677"	32	23	"$2,001,066"	13	"$507,331"	6	"140,534"	6	"$140,534"	"$5,414"	"$160,817"	"42,567"	"685,620"	0	0	$0	$0	11	172	"$243,391"	0	892	"16,416"	1	0	7	7	0	0	2
Palm Springs	Eastern Riverside	6/10/2015	"29,007"	86	62	"$4,511,825"	46	"$1,175,870"	27	"653,259"	27	"$653,259"	"$36,532"	"$1,134,145"	"260,942"	"4,248,292"	0	0	$0	$0	67	"1,099"	"$1,131,384"	"8,392"	"4,979"	"125,324"	6	5	45	43	2	0	19
La Quinta	Eastern Riverside	6/10/2015	"20,437"	73	59	"$3,625,593"	34	"$636,815"	20	"424,645"	20	"$424,645"	"$27,365"	"$801,106"	"200,058"	"3,139,729"	"209,000"	"4,015,000"	$941	"$28,552"	51	807	"$735,447"	"10,257"	"3,911"	"92,851"	4	6	29	25	2	2	13
Indian Wells	Eastern Riverside	6/10/2015	"4,622"	12	7	"$826,994"	4	"$213,745"	3	"81,064"	3	"$81,064"	"$6,800"	"$198,018"	"51,083"	"800,574"	0	0	$0	$0	13	204	"$140,395"	0	"1,026"	"21,003"	1	0	7	7	0	0	0
Eastern Riverside County Unincorporated	Eastern Riverside	6/8/2015	"27,700"	72	42	"$1,878,074"	20	"$552,116"	9	"269,203"	9	"$269,203"	"$25,996"	"$913,789"	"154,282"	"2,611,504"	0	0	$0	$0	42	726	"$466,236"	"48,801"	"2,298"	"91,234"	2	30	17	12	5	0	15
Cathedral City	Eastern Riverside	6/10/2015	"18,306"	113	68	"$2,681,327"	46	"$959,450"	26	"455,978"	26	"$455,978"	"$35,578"	"$1,209,007"	"220,280"	"3,717,104"	"171,435"	"2,704,350"	$771	"$18,252"	59	"1,012"	"$789,712"	"42,829"	"3,507"	"147,552"	4	26	40	30	8	2	7
Blythe	Eastern Riverside	6/10/2015	"3,837"	19	11	"$371,655"	2	"$62,288"	1	"32,461"	1	"$32,461"	"$4,249"	"$179,895"	"15,738"	"314,760"	0	0	$0	$0	5	104	"$56,220"	"15,738"	0	"18,477"	0	10	2	0	2	0	1
